run,year,N_HIV_M,Cum_HIV_M,N_HIV_Obs_M,N_HIV_D,N_CD4_1_M,N_CD4_1_Obs_M_NoW,N_CD4_1_Obs_M,N_CD4_1_D,N_CD4_2_M,N_CD4_2_Obs_M_NoW,N_CD4_2_Obs_M,N_CD4_2_D,N_CD4_3_M,N_CD4_3_Obs_M_NoW,N_CD4_3_Obs_M,N_CD4_3_D,N_CD4_4_M,N_CD4_4_Obs_M_NoW,N_CD4_4_Obs_M,N_CD4_4_D,N_HIVAIDS_M,N_HIVAIDS_Obs_M,N_HIVAIDS_D,N_AIDS_M,N_AIDS_D,N_Dead_D,Cum_Dead_D,N_Diag_Dead_M,Cum_Diag_Dead_M,N_Und_Dead_D,Cum_Und_Dead_D,N_Und_Dead_M,Cum_Und_Dead_M,N_Emig_D,Cum_Emig_D,Cum_Inf_M,Cum_Inf_D,N_Inf_M,N_Inf_D,delta1,delta2,delta3,delta4,t_diag,t_diag_p50,t_diag_p25,t_diag_p75,D_Avg_Time,t_diag_1,t_diag_2,t_diag_3,t_diag_4,t_diag_5,t_diag_6,t_diag_7,t_diag_8,t_diag_9,t_diag_10,t_diag_11,t_diag_12,t_diag_13,t_diag_14,t_diag_15,N_Alive,N_Alive_Diag_M,N_Und,N_Und_1,N_Und_2,N_Und_Inf_p,N_Und_Alive_p,N_Und_PrimInf,N_Und_CD4_1_M,N_Und_CD4_2_M,N_Und_CD4_3_M,N_Und_CD4_4_M,N_Und_HIVAIDS_M,N_Und_500,N_Und_350,N_Und_T_1,N_Und_T_1_p,N_Und_PrimInf_T_1,N_Und_CD4_1_T_1,N_Und_CD4_2_T_1,N_Und_CD4_3_T_1,N_Und_CD4_4_T_1,N_Und_CD4_5_T_1,N_Und_T_2,N_Und_T_2_p,N_Und_PrimInf_T_2,N_Und_CD4_1_T_2,N_Und_CD4_2_T_2,N_Und_CD4_3_T_2,N_Und_CD4_4_T_2,N_Und_CD4_5_T_2,N_Und_T_3,N_Und_T_3_p,N_Und_PrimInf_T_3,N_Und_CD4_1_T_3,N_Und_CD4_2_T_3,N_Und_CD4_3_T_3,N_Und_CD4_4_T_3,N_Und_CD4_5_T_3,LL_HIV,LL_CD4_1,LL_CD4_2,LL_CD4_3,LL_CD4_4,LL_AIDS,LL_HIVAIDS
0,1980,0.000597,0.000597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000597,0,0,0.000597,0,0,0,0.000048,0.000048,0,0,0.000026,0.000026,0,0,0.469599,0,0.469599,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,0.5,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,0.469572,0.000597,0.468975,0.468975,0,99.867187,99.872789,0.214184,0.143153,0.059175,0.042781,0.009432,0.000249,0.357337,0.052463,0.468975,100,0.214184,0.143153,0.059175,0.042781,0.009432,0.000249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1981,0.017012,0.017609,0.000006,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017012,0.000006,0,0.017012,0,0,0,0.002717,0.002766,0,0,0.00075,0.000776,0,0,3.653549,0,3.183951,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,0.95659,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,3.652773,0.017609,3.635164,3.635164,0,99.496777,99.517926,1.030653,1.416931,0.609126,0.459099,0.115853,0.003501,2.447584,0.578454,3.174299,87.322024,1.027233,1.186272,0.500796,0.369758,0.087679,0.002562,0.460865,12.677974,0.003418,0.230661,0.108331,0.089342,0.028174,0.00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1982,0.101851,0.119461,0.000062,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101851,0.000062,0,0.101851,2,0,0,0.023952,0.026718,0,0,0.004491,0.005267,0,0,11.982288,0,8.328739,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,1.358452,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,11.977021,0.119461,11.85756,11.857559,0,98.959066,99.002586,2.414502,4.979122,2.216627,1.741423,0.490368,0.015519,7.393624,2.24731,8.299145,69.990326,2.398041,3.246892,1.377819,1.022525,0.246532,0.007336,3.558414,30.009665,0.016445,1.732239,0.838811,0.7189,0.243837,0.008181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1983,0.335342,0.454802,0.000345,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335342,0.000345,0,0.335342,17,8,8,0.101477,0.128195,0,0,0.014786,0.020053,0,0,27.576523,0,15.594235,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,1.737639,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,19.55647,-7.545198,27.101668,27.101667,0,98.278045,138.581593,4.291495,11.673271,5.35963,4.382601,1.350912,0.043759,15.964766,5.777272,15.535135,57.321695,4.252952,6.196615,2.635363,1.960063,0.475878,0.014265,11.566532,42.678303,0.038525,5.476667,2.724271,2.422541,0.875035,0.029493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1984,7.227769,7.682572,2.706518,31,2.898046,2.002189,0.064587,0,1.368786,0.458546,0.014792,0,1.411891,0.224939,0.007256,1,0.88011,0.019674,0.000635,0,0.668936,0.001169,0,0.847393,29,16,24,0.300624,0.428819,0,0,0.029495,0.049548,0,0,52.247236,0,24.670713,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,1.791212,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,28.197689,-16.317428,44.515117,44.515117,0,85.200903,157.867964,6.586798,19.354747,9.055656,7.395794,2.05334,0.068782,25.941546,9.517916,23.167444,52.043993,6.51832,9.224046,3.9151,2.858407,0.632292,0.019279,21.347672,47.956006,0.068474,10.130703,5.140556,4.537387,1.421049,0.049503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1985,11.549393,19.231965,4.849827,74,4.621741,3.448132,0.559157,9,2.216754,0.887489,0.143917,2,2.299482,0.465502,0.075487,1,1.36985,0.045614,0.007397,0,1.041566,0.003091,0,1.711664,60,30,54,0.704456,1.133275,0,0,0.045924,0.095472,0,0,87.495682,0,35.248446,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,1.974218,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,33.40021,-34.768035,68.168245,68.168249,0,77.910411,204.095258,9.225661,29.821944,14.147767,11.667395,3.198166,0.107313,39.047604,14.972874,33.059995,48.497647,9.120476,13.256169,5.630793,4.113366,0.911329,0.027863,34.871221,51.154641,0.105098,16.480843,8.461641,7.485835,2.259329,0.078474,0.237033,0.347717,0,0.084986,0.055354,0.068207,0.02751,0.000975,0,0,0,0,0,0,0
0,1986,17.367145,36.59911,8.058363,37,6.85669,5.477855,1.184401,6,3.33193,1.576459,0.340856,2,3.497585,0.892994,0.19308,0,2.088056,0.103032,0.022277,0,1.592884,0.008023,0,3.042515,118,63,117,1.397979,2.531254,0,0,0.070233,0.165705,0,0,134.513389,0,47.017706,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,2.13686,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,17.347683,-80.40089,97.748573,97.748575,0,72.668285,563.467585,12.133042,42.875138,20.599058,17.214111,4.766637,0.160586,55.00818,22.141335,44.06037,45.075206,11.985766,17.754357,7.545484,5.514257,1.223043,0.037464,52.223052,53.425897,0.147203,24.59455,12.707839,11.275631,3.380474,0.117355,1.465153,1.498899,0,0.526277,0.345753,0.424235,0.163122,0.005766,0,0,0,0,0,0,0
0,1987,24.601564,61.200674,12.532585,56,9.555634,8.101442,1.222859,7,4.700037,2.595006,0.391699,1,5.001969,1.596413,0.240968,0,3.026095,0.219907,0.033194,0,2.317829,0.019816,3,4.937644,189,106,223,2.47641,5.007664,0,0,0.102197,0.267902,0,0,194.182156,0,59.668767,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,2.29333,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-29.085747,-161.799326,132.713579,132.713578,0,68.344889,-456.283901,15.234188,58.221168,28.302358,23.986304,6.74154,0.228022,73.455356,30.955866,55.879465,42.105311,15.04054,22.599544,9.60845,7.023947,1.559157,0.047826,72.994123,55.001247,0.193593,34.247033,17.783665,15.844274,4.76027,0.165289,3.83999,2.893442,0,1.374625,0.910255,1.118093,0.422115,0.014903,0,0,0,0,0,0,0
0,1988,33.125198,94.325872,18.449741,52,12.656353,11.279914,0.902393,3,6.295276,3.99849,0.319879,1,6.793568,2.681567,0.214525,0,4.172387,0.443223,0.035458,0,3.207614,0.046548,2,7.47812,250,135,358,4.032157,9.039821,0,0,0.141429,0.409332,0,0,267.074057,0,72.891901,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,2.444861,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-91.335274,-263.674128,172.338854,172.338851,0,64.528489,-188.688165,18.454247,75.500994,37.100322,31.879208,9.095386,0.308697,93.955241,41.283291,68.228172,39.589547,18.211138,27.672669,11.768972,8.605303,1.911395,0.058695,96.968127,56.26597,0.243075,45.286015,23.636291,21.182424,6.398063,0.22226,7.142551,4.144481,0,2.542331,1.695066,2.091486,0.78593,0.027738,0,0,0,0,0,0,0
0,1989,42.768519,137.094391,25.95017,58,16.086059,14.924956,2.618413,7,8.083631,5.812113,1.019669,1,8.841237,4.260818,0.747512,2,5.509031,0.847631,0.148707,0,4.248561,0.104651,1,10.725445,305,202,560,6.148734,15.188555,0,0,0.187326,0.596658,0,0,353.45144,0,86.377382,0,0.189705,0.193002,0.243979,0.52893,4.010209,3.1095,1.4945,5.6575,2.590829,15.781785,17.978873,14.865069,11.960141,9.448517,7.350512,5.643478,4.28392,3.220168,2.400178,1.775996,1.305902,0.955048,0.6952,0.504015,-207.145219,-422.905609,215.760391,215.760385,0,61.043857,-104.159001,21.718371,94.308957,46.799782,40.74407,11.787957,0.401255,116.027328,52.933281,80.817389,37.457009,21.423868,32.85469,13.976336,10.2212,2.271482,0.069813,123.203993,57.102229,0.294454,57.298139,30.039648,27.068867,8.217305,0.285579,11.739004,5.440759,0,4.156159,2.783809,3.454011,1.299171,0.045855,0,0,0,0,0,0,0
