run,year,N_HIV_M,Cum_HIV_M,N_HIV_Obs_M,N_HIV_D,N_CD4_1_M,N_CD4_1_Obs_M_NoW,N_CD4_1_Obs_M,N_CD4_1_D,N_CD4_2_M,N_CD4_2_Obs_M_NoW,N_CD4_2_Obs_M,N_CD4_2_D,N_CD4_3_M,N_CD4_3_Obs_M_NoW,N_CD4_3_Obs_M,N_CD4_3_D,N_CD4_4_M,N_CD4_4_Obs_M_NoW,N_CD4_4_Obs_M,N_CD4_4_D,N_HIVAIDS_M,N_HIVAIDS_Obs_M,N_HIVAIDS_D,N_AIDS_M,N_AIDS_D,N_Dead_D,Cum_Dead_D,N_Diag_Dead_M,Cum_Diag_Dead_M,N_Und_Dead_D,Cum_Und_Dead_D,N_Und_Dead_M,Cum_Und_Dead_M,N_Emig_D,Cum_Emig_D,Cum_Inf_M,Cum_Inf_D,N_Inf_M,N_Inf_D,delta1,delta2,delta3,delta4,t_diag,t_diag_p50,t_diag_p25,t_diag_p75,D_Avg_Time,t_diag_1,t_diag_2,t_diag_3,t_diag_4,t_diag_5,t_diag_6,t_diag_7,t_diag_8,t_diag_9,t_diag_10,t_diag_11,t_diag_12,t_diag_13,t_diag_14,t_diag_15,N_Alive,N_Alive_Diag_M,N_Und,N_Und_1,N_Und_2,N_Und_Inf_p,N_Und_Alive_p,N_Und_PrimInf,N_Und_CD4_1_M,N_Und_CD4_2_M,N_Und_CD4_3_M,N_Und_CD4_4_M,N_Und_HIVAIDS_M,N_Und_500,N_Und_350,N_Und_T_1,N_Und_T_1_p,N_Und_PrimInf_T_1,N_Und_CD4_1_T_1,N_Und_CD4_2_T_1,N_Und_CD4_3_T_1,N_Und_CD4_4_T_1,N_Und_CD4_5_T_1,N_Und_T_2,N_Und_T_2_p,N_Und_PrimInf_T_2,N_Und_CD4_1_T_2,N_Und_CD4_2_T_2,N_Und_CD4_3_T_2,N_Und_CD4_4_T_2,N_Und_CD4_5_T_2,N_Und_T_3,N_Und_T_3_p,N_Und_PrimInf_T_3,N_Und_CD4_1_T_3,N_Und_CD4_2_T_3,N_Und_CD4_3_T_3,N_Und_CD4_4_T_3,N_Und_CD4_5_T_3,LL_HIV,LL_CD4_1,LL_CD4_2,LL_CD4_3,LL_CD4_4,LL_AIDS,LL_HIVAIDS
0,1980,0.000676,0.000676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000676,0,0,0.000676,0,0,0,0.000055,0.000055,0,0,0.00003,0.00003,0,0,0.530091,0,0.530091,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,0.5,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,0.530061,0.000676,0.529385,0.529385,0,99.866853,99.872469,0.241516,0.161732,0.066858,0.048338,0.010659,0.000282,0.403248,0.059279,0.529385,100,0.241516,0.161732,0.066858,0.048338,0.010659,0.000282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1981,0.019147,0.019823,0.000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019147,0.000007,0,0.019147,0,0,0,0.003063,0.003118,0,0,0.000844,0.000874,0,0,4.092854,0,3.562763,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,0.958093,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,4.09198,0.019823,4.072157,4.072156,0,99.49431,99.515562,1.150721,1.589079,0.683269,0.515091,0.130064,0.003933,2.7398,0.649088,3.551929,87.224772,1.146864,1.32872,0.560984,0.414235,0.098255,0.002872,0.520227,12.775225,0.003854,0.260361,0.122286,0.100856,0.031809,0.001061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1982,0.113916,0.13374,0.000069,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113916,0.000069,0,0.113916,0,0,0,0.026856,0.029974,0,0,0.005023,0.005897,0,0,13.314302,0,9.221449,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,1.361663,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,13.308405,0.13374,13.174666,13.174665,0,98.95123,98.995075,2.666117,5.538664,2.466852,1.939015,0.546707,0.01731,8.204781,2.503032,9.188579,69.744301,2.647741,3.598582,1.527219,1.133516,0.273382,0.008138,3.986086,30.255691,0.018361,1.940091,0.939637,0.805501,0.273325,0.009171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1983,0.372485,0.506225,0.000384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372485,0.000384,0,0.372485,5,8,8,0.113114,0.143088,0,0,0.016424,0.02232,0,0,30.376822,0,17.06252,0,0,0,0,0,11.567122,10.8755,6.3895,17.2385,1.743673,1.19279,2.688429,3.724466,4.546088,5.15016,5.543558,5.745209,5.781735,5.683217,5.47992,5.200068,4.868552,4.506353,4.13046,3.754111,22.354502,-7.493775,29.848277,29.848276,0,98.260038,133.522444,4.681202,12.869548,5.91364,4.840335,1.495096,0.048456,17.550751,6.383887,16.997637,56.946793,4.638647,6.787408,2.886956,2.147429,0.521556,0.01564,12.85064,43.053204,0.04254,6.08215,3.026687,2.692907,0.97354,0.032815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1984,5.382963,5.889187,1.809227,10,1.877838,1.297352,0,0,1.01645,0.340513,0,0,0.962176,0.153291,0,0,0.747411,0.016708,0,0,0.779087,0.001362,0,0.924593,2,16,24,0.331101,0.474189,0,0,0.034351,0.056672,0,0,57.019172,0,26.64235,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,1.83241,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,32.9625,-18.110813,51.073313,51.073313,0,89.572176,154.943687,7.088785,22.327935,10.388983,8.683458,2.50081,0.083342,29.41672,11.267609,25.590561,50.105543,7.014074,10.279313,4.344222,3.208522,0.722476,0.021953,25.482752,49.894458,0.074693,12.048633,6.044766,5.474939,1.778334,0.061388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1985,8.938704,14.827892,3.348151,12,3.078055,2.296438,0,0,1.688728,0.676091,0,0,1.632308,0.33044,0,0,1.241171,0.041329,0,0,1.298443,0.003853,0,1.853063,5,30,54,0.767699,1.241888,0,0,0.057251,0.113922,0,0,94.536482,0,37.51731,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,2.062671,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,40.422559,-39.172108,79.594668,79.594668,0,84.194658,196.906552,9.781738,34.98962,16.512771,14.098637,4.075504,0.136396,44.771359,18.310538,36.007321,45.238358,9.668537,14.566675,6.160561,4.55319,1.027066,0.031293,43.269164,54.361888,0.113108,20.310132,10.280445,9.452985,3.008786,0.103707,0.318183,0.399754,0,0.112871,0.071787,0.092476,0.039655,0.001394,0,0,0,0,0,0,0
0,1986,13.724916,28.552808,5.653679,19,4.612883,3.685262,0.193961,1,2.566915,1.214502,0.063921,0,2.534428,0.647083,0.034057,0,1.955237,0.096478,0.005078,0,2.055453,0.010353,0,3.267312,19,63,117,1.511438,2.753326,0,0,0.090629,0.204551,0,0,143.780255,0,49.243773,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,2.279866,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,26.575704,-88.447192,115.022896,115.022896,0,79.999091,432.812229,12.652674,50.591488,24.216652,21.123018,6.229524,0.209539,63.244162,27.562082,47.234818,41.065579,12.496544,19.204648,8.126182,6.008906,1.357112,0.041427,65.670506,57.093421,0.156075,30.634606,15.611704,14.493386,4.615632,0.159103,2.117571,1.841,0,0.752269,0.47878,0.620734,0.256782,0.009007,0,0,0,0,0,0,0
0,1987,19.689593,48.2424,8.877364,28,6.444479,5.463748,0,0,3.63579,2.007409,0,0,3.666124,1.170069,0,0,2.890285,0.210038,0,0,3.052915,0.0261,0,5.255845,56,106,223,2.656379,5.409705,0,0,0.134608,0.339159,0,0,205.158367,0,61.378112,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,2.4925,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-18.180793,-174.7576,156.576807,156.576796,0,76.319972,-861.22102,15.5945,68.705598,33.332545,29.687878,8.95375,0.302535,84.300098,38.944164,58.848525,37.584446,15.392588,24.017141,10.166419,7.520351,1.700058,0.051968,91.763827,58.60627,0.201884,42.575256,21.818607,20.408024,6.534701,0.225354,5.964444,3.809277,0,2.113218,1.347525,1.759507,0.718992,0.025201,0,0,0,0,0,0,0
0,1988,26.71852,74.96092,13.154034,22,8.519324,7.592807,0.361562,0,4.868789,3.092446,0.147259,0,5.010446,1.977731,0.094178,1,4.037626,0.428908,0.020424,0,4.282334,0.062143,1,7.883617,75,135,358,4.289002,9.698707,0,0,0.188816,0.527975,0,0,278.635065,0,73.476698,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,2.701517,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-79.89291,-283.03908,203.14617,203.146168,0,72.907611,-254.27309,18.499992,88.777823,43.612645,39.630261,12.211295,0.414155,107.277815,52.25571,70.423914,34.666622,18.251153,28.828066,12.206611,9.032204,2.043348,0.062532,120.854618,59.491458,0.248825,55.765571,28.730538,27.07722,8.731199,0.301266,11.867636,5.84192,0,4.184195,2.6755,3.520839,1.436749,0.050354,0,0,0,0,0,0,0
0,1989,34.640581,109.601501,18.592996,29,10.771879,9.994358,2.067798,4,6.230312,4.479581,0.92681,1,6.537698,3.150684,0.651866,1,5.37754,0.827399,0.171186,0,5.723151,0.140973,0,11.187937,86,202,560,6.480938,16.179645,0,0,0.252344,0.780319,0,0,363.73097,0,85.095905,0,0.108383,0.126832,0.145007,0.383063,5.452069,4.3825,2.1255,7.7915,2.906979,10.374007,13.095402,12.076205,10.774169,9.395555,8.04162,6.775712,5.63373,4.631507,3.770942,3.044963,2.441352,1.945491,1.542228,1.21704,-197.049348,-450.398499,253.349151,253.349112,0,69.652895,-128.571423,21.261883,110.157224,54.745925,50.705653,15.936212,0.542253,131.419108,67.184118,81.536456,32.183434,20.966747,33.461322,14.172088,10.489143,2.374424,0.072732,151.576571,59.829121,0.295185,69.606358,36.024652,34.178075,11.08948,0.382821,20.236085,7.98743,0,7.089514,4.549173,6.038427,2.472307,0.086664,0,0,0,0,0,0,0
