"SELECT","NAME","FULL_NAME","ST","ST_CLADE","period"
"AmsHSX","AmsHSX-SPLIT67","C_000_AmsHSX_AmsHSX-SPLIT67","C",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT94","02AG_000_AmsHSX_AmsHSX-SPLIT94","02AG",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT27","C_000_AmsHSX_AmsHSX-SPLIT27","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT33","02AG_000_AmsHSX_AmsHSX-SPLIT33","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT49","02AG_000_AmsHSX_AmsHSX-SPLIT49","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT8","D_000_AmsHSX_AmsHSX-SPLIT8","D",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT39","C_000_AmsHSX_AmsHSX-SPLIT39","C",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT46","C_000_AmsHSX_AmsHSX-SPLIT46","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT87","02AG_000_AmsHSX_AmsHSX-SPLIT87","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT4","A1_000_AmsHSX_AmsHSX-SPLIT4","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT40","B_000_AmsHSX_AmsHSX-SPLIT40","B",4,"pre-startd"
"AmsHSX","AmsHSX-SPLIT63","02AG_000_AmsHSX_AmsHSX-SPLIT63","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT54","02AG_000_AmsHSX_AmsHSX-SPLIT54","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT48","02AG_000_AmsHSX_AmsHSX-SPLIT48","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT69","C_000_AmsHSX_AmsHSX-SPLIT69","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT63","C_000_AmsHSX_AmsHSX-SPLIT63","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT16","06cpx_000_AmsHSX_AmsHSX-SPLIT16","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT9","G_000_AmsHSX_AmsHSX-SPLIT9","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT77","C_000_AmsHSX_AmsHSX-SPLIT77","C",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT8","02AG_000_AmsHSX_AmsHSX-SPLIT8","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT75","C_000_AmsHSX_AmsHSX-SPLIT75","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT9","C_000_AmsHSX_AmsHSX-SPLIT9","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT56","C_000_AmsHSX_AmsHSX-SPLIT56","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT11","D_000_AmsHSX_AmsHSX-SPLIT11","D",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT71","02AG_000_AmsHSX_AmsHSX-SPLIT71","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT41","02AG_000_AmsHSX_AmsHSX-SPLIT41","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT13","G_000_AmsHSX_AmsHSX-SPLIT13","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT12","C_000_AmsHSX_AmsHSX-SPLIT12","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT26","G_000_AmsHSX_AmsHSX-SPLIT26","G",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT2","06cpx_000_AmsHSX_AmsHSX-SPLIT2","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT28","02AG_000_AmsHSX_AmsHSX-SPLIT28","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT42","A1_000_AmsHSX_AmsHSX-SPLIT42","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT79","C_000_AmsHSX_AmsHSX-SPLIT79","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT17","02AG_000_AmsHSX_AmsHSX-SPLIT17","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT97","02AG_000_AmsHSX_AmsHSX-SPLIT97","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT106","02AG_000_AmsHSX_AmsHSX-SPLIT106","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT77","02AG_000_AmsHSX_AmsHSX-SPLIT77","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT25","02AG_000_AmsHSX_AmsHSX-SPLIT25","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT68","02AG_000_AmsHSX_AmsHSX-SPLIT68","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT40","02AG_000_AmsHSX_AmsHSX-SPLIT40","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT78","02AG_000_AmsHSX_AmsHSX-SPLIT78","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT35","A1_000_AmsHSX_AmsHSX-SPLIT35","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT9","A1_000_AmsHSX_AmsHSX-SPLIT9","A1",NA,"pre-startd"
